User_ID,Run_Number,File_Number,Execution_Time_sec
1,1,19,1.446241855621338
2,1,19,1.4707095623016357
1,1,17,0.45914268493652344
2,1,17,0.5525350570678711
1,1,3,1.2232203483581543
2,1,3,1.1080663204193115
1,1,6,0.08486557006835938
2,1,6,0.08975911140441895
1,1,21,1.7939438819885254
2,1,21,1.792424201965332
1,1,7,0.7275228500366211
2,1,7,0.9112534523010254
1,1,12,0.5416574478149414
2,1,12,0.4382476806640625
1,1,9,1.5553336143493652
2,1,9,1.503833532333374
2,1,8,1.2612760066986084
1,1,8,1.3332784175872803
2,1,5,0.6154892444610596
1,1,5,0.857372522354126
2,1,2,1.00612473487854
1,1,2,0.8882439136505127
2,1,15,0.3255736827850342
1,1,15,0.3431684970855713
2,1,22,0.46384358406066895
1,1,22,0.3621673583984375
2,1,18,0.9367685317993164
1,1,18,0.8950557708740234
2,1,11,0.43469762802124023
1,1,11,0.4858741760253906
2,1,10,0.7835991382598877
1,1,10,0.7176880836486816
2,1,4,0.3914318084716797
1,1,4,0.40460824966430664
2,1,1,0.3715991973876953
1,1,1,0.384171724319458
2,1,14,0.2313675880432129
1,1,14,0.2579164505004883
2,1,16,0.25722813606262207
1,1,16,0.2825813293457031
2,1,20,0.5941462516784668
1,1,20,0.5701274871826172
1,1,13,0.8748528957366943
2,1,13,1.0211048126220703
2,2,19,0.06072282791137695
1,2,19,0.06679677963256836
1,2,17,0.06304740905761719
2,2,17,0.0764303207397461
2,2,3,0.05314350128173828
1,2,3,0.06715607643127441
1,2,6,0.05579495429992676
2,2,6,0.06487178802490234
1,2,21,0.059676408767700195
2,2,21,0.06280922889709473
1,2,7,0.06511640548706055
2,2,7,0.06267452239990234
1,2,12,0.06854915618896484
2,2,12,0.06915664672851562
1,2,9,0.06579971313476562
2,2,9,0.06499552726745605
2,2,8,0.05601072311401367
1,2,8,0.07724356651306152
2,2,5,0.05106759071350098
1,2,5,0.05728745460510254
2,2,2,0.13689899444580078
1,2,2,0.1436758041381836
2,2,15,0.062375783920288086
1,2,15,0.05905771255493164
2,2,22,0.057450056076049805
1,2,22,0.058396339416503906
2,2,18,0.06382608413696289
1,2,18,0.0608067512512207
2,2,11,0.055228471755981445
1,2,11,0.0565485954284668
2,2,10,0.07074999809265137
1,2,10,0.06788969039916992
2,2,4,0.05009150505065918
1,2,4,0.06672334671020508
2,2,1,0.0497593879699707
2,2,14,0.05338573455810547
1,2,1,0.05809426307678223
1,2,14,0.05310678482055664
2,2,16,0.06430292129516602
1,2,16,0.07224869728088379
2,2,20,0.07657241821289062
2,2,13,0.05944705009460449
1,2,20,0.07079362869262695
1,2,13,0.05127596855163574
1,3,19,0.06602334976196289
2,3,19,0.0704960823059082
2,3,17,0.06683921813964844
1,3,17,0.08655309677124023
2,3,3,0.06634068489074707
1,3,3,0.06111764907836914
1,3,6,0.06039261817932129
2,3,6,0.06506609916687012
1,3,21,0.06782197952270508
2,3,21,0.09175777435302734
1,3,7,0.06169247627258301
2,3,7,0.0969386100769043
1,3,12,0.0639030933380127
1,3,9,0.08089065551757812
2,3,12,0.08637332916259766
1,3,8,0.06894183158874512
2,3,9,0.06904792785644531
1,3,5,0.057952880859375
2,3,8,0.07820749282836914
2,3,5,0.05220508575439453
1,3,2,0.12160444259643555
1,3,15,0.06773543357849121
2,3,2,0.1513500213623047
1,3,22,0.07299566268920898
2,3,15,0.06601881980895996
1,3,18,0.06797671318054199
2,3,22,0.07983064651489258
1,3,11,0.08045816421508789
2,3,18,0.07279133796691895
1,3,10,0.09172224998474121
2,3,11,0.06903934478759766
1,3,4,0.0821833610534668
2,3,10,0.08542990684509277
1,3,1,0.10248064994812012
2,3,4,0.07619595527648926
1,3,14,0.05491137504577637
2,3,1,0.054476261138916016
2,3,14,0.04956650733947754
1,3,16,0.07161450386047363
2,3,16,0.07301616668701172
1,3,20,0.09010791778564453
2,3,20,0.05796504020690918
1,3,13,0.05794572830200195
2,3,13,0.061077117919921875
2,4,19,0.05898690223693848
1,4,19,0.07019901275634766
2,4,17,0.05727386474609375
1,4,17,0.05359625816345215
2,4,3,0.07545304298400879
1,4,3,0.10200905799865723
2,4,6,0.05151939392089844
1,4,6,0.05276823043823242
2,4,21,0.06129932403564453
1,4,21,0.06787514686584473
2,4,7,0.05421805381774902
1,4,7,0.05768704414367676
2,4,12,0.052736520767211914
1,4,12,0.05544590950012207
2,4,9,0.0528101921081543
1,4,9,0.06275153160095215
2,4,8,0.05650806427001953
1,4,8,0.056181907653808594
2,4,5,0.056299448013305664
1,4,5,0.16661334037780762
2,4,2,0.1676011085510254
2,4,15,0.05604839324951172
1,4,2,0.11611771583557129
2,4,22,0.05928325653076172
1,4,15,0.053468942642211914
2,4,18,0.06103515625
1,4,22,0.05346941947937012
2,4,11,0.056299686431884766
1,4,18,0.0552363395690918
2,4,10,0.07176542282104492
1,4,11,0.056574344635009766
2,4,4,0.05988764762878418
1,4,10,0.07741546630859375
2,4,1,0.0587615966796875
1,4,4,0.060419321060180664
2,4,14,0.0856318473815918
1,4,1,0.05123329162597656
2,4,16,0.07665896415710449
1,4,14,0.06824135780334473
2,4,20,0.05870485305786133
1,4,16,0.09815096855163574
2,4,13,0.054795026779174805
1,4,20,0.05619215965270996
1,4,13,0.06717467308044434
1,5,19,0.05580568313598633
2,5,19,0.07030582427978516
2,5,17,0.055742740631103516
1,5,17,0.06876087188720703
2,5,3,0.0532381534576416
1,5,3,0.06095743179321289
2,5,6,0.052858829498291016
1,5,6,0.05435347557067871
2,5,21,0.053972482681274414
1,5,21,0.05773305892944336
2,5,7,0.054665565490722656
1,5,7,0.07103228569030762
2,5,12,0.05977344512939453
1,5,12,0.05097770690917969
2,5,9,0.054772377014160156
1,5,9,0.060387611389160156
2,5,8,0.05640888214111328
1,5,8,0.04909944534301758
2,5,5,0.06531262397766113
1,5,5,0.06107831001281738
2,5,2,0.16271328926086426
1,5,2,0.16979169845581055
2,5,15,0.06365466117858887
1,5,15,0.06586861610412598
2,5,22,0.05223250389099121
1,5,22,0.06591391563415527
2,5,18,0.06457114219665527
1,5,18,0.05405545234680176
2,5,11,0.06382060050964355
1,5,11,0.06157660484313965
2,5,10,0.06335902214050293
1,5,10,0.08167719841003418
2,5,4,0.0641031265258789
2,5,1,0.05551958084106445
1,5,4,0.06988763809204102
2,5,14,0.05525636672973633
1,5,1,0.0784459114074707
2,5,16,0.08137392997741699
1,5,14,0.06627702713012695
2,5,20,0.059488534927368164
1,5,16,0.06635737419128418
2,5,13,0.05335688591003418
1,5,20,0.07165074348449707
1,5,13,0.05658459663391113
2,6,19,0.11076498031616211
1,6,19,0.11945676803588867
2,6,17,0.15583086013793945
1,6,17,0.15554165840148926
2,6,3,0.05800509452819824
1,6,3,0.07272887229919434
2,6,6,0.05800461769104004
1,6,6,0.060544490814208984
2,6,21,0.06455373764038086
1,6,21,0.06433677673339844
2,6,7,0.06704020500183105
1,6,7,0.05352902412414551
1,6,12,0.07709884643554688
2,6,12,0.09008049964904785
1,6,9,0.06217551231384277
2,6,9,0.08209371566772461
1,6,8,0.0672616958618164
2,6,8,0.06540250778198242
1,6,5,0.06210947036743164
2,6,5,0.0530550479888916
1,6,2,0.11343097686767578
2,6,2,0.11594057083129883
1,6,15,0.05157876014709473
2,6,15,0.06081557273864746
1,6,22,0.05093097686767578
2,6,22,0.05909466743469238
1,6,18,0.05465579032897949
1,6,11,0.05371713638305664
2,6,18,0.062774658203125
2,6,11,0.07156872749328613
1,6,10,0.07760190963745117
2,6,10,0.06062579154968262
1,6,4,0.05991005897521973
2,6,4,0.06183314323425293
1,6,1,0.058710336685180664
2,6,1,0.06899738311767578
1,6,14,0.0724325180053711
2,6,14,0.05970454216003418
1,6,16,0.05730271339416504
1,6,20,0.057323455810546875
2,6,16,0.06524157524108887
1,6,13,0.06514143943786621
2,6,20,0.0678093433380127
2,6,13,0.05506610870361328
